NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
30; 6/10/2039; Ind;1; HW
30; 26/5/2040; Ind;1; HW
30; 8/9/2040; Ind;1; HW
30; 11/10/2040; Ind;1; HW
31; 8/5/2017; DCC NL;4; HW
31; 8/3/2018; DCC NL;1; FH
31; 18/3/2033; Ind;1; HW
31; 14/2/2034; Ind;1; HW
31; 29/9/2034; Ind;1; HW
31; 6/11/2034; DCC L;4; FH
31; 24/2/2037; Ind;1; HW
31; 4/5/2037; Ind;1; HW
31; 29/11/2038; Ind;1; HW
31; 20/1/2039; Ind;1; HW
31; 30/1/2039; Ind;1; HW
31; 22/6/2039; Ind;1; HW
31; 16/8/2039; Ind;1; HW
31; 7/1/2040; Ind;1; HW
31; 26/1/2040; Ind;1; HW
31; 21/11/2040; Ind;1; HW
32; 13/8/2022; DCC L;4; FH
32; 27/11/2035; Ind;1; HW
32; 27/5/2036; Ind;1; HW
32; 15/9/2036; Ind;1; HW
32; 10/11/2036; Ind;1; HW
32; 7/11/2037; Ind;1; HW
32; 20/3/2039; Ind;1; HW
32; 6/6/2039; Ind;1; HW
32; 6/9/2039; Ind;1; HW
32; 6/11/2039; Ind;1; HW
32; 20/12/2039; Ind;1; HW
32; 18/10/2040; Ind;1; HW
32; 28/10/2040; Ind;1; HW
33; 26/7/2018; DCC NL;3; FH
33; 9/8/2021; DCC NL;3; HW
33; 12/5/2027; Ind;1; HW
33; 18/7/2033; Ind;1; HW
33; 4/8/2036; Ind;1; HW
33; 24/11/2036; Ind;1; HW
33; 2/7/2037; Ind;1; HW
33; 6/12/2037; Ind;1; HW
33; 25/7/2038; Ind;1; HW
33; 1/8/2038; Ind;1; HW
33; 21/10/2039; Ind;1; HW
33; 5/2/2040; Ind;1; HW
34; 10/7/2024; DCC L;12; SW
34; 27/5/2026; DCC NL;1; FH
34; 29/7/2032; Ind;1; HW
34; 11/10/2034; Ind;1; HW
34; 8/1/2035; Ind;1; HW
34; 30/1/2035; DCC L;5; FH
34; 12/10/2035; Ind;1; HW
34; 15/3/2037; DCC NL;1; FH
34; 27/3/2037; Ind;1; HW
34; 3/6/2037; Ind;1; HW
34; 30/7/2037; Ind;1; HW
34; 18/10/2037; Ind;1; HW
34; 11/11/2037; DCC L;8; SW
34; 21/10/2038; DCC NL;3; FH
34; 20/6/2039; Ind;1; HW
34; 16/8/2039; Ind;1; HW
34; 21/3/2040; Ind;1; HW
34; 21/8/2040; Ind;1; HW
34; 27/8/2040; Ind;1; HW
35; 12/5/2018; DCC NL;2; FH
35; 16/8/2027; DCC NL;1; FH
35; 8/2/2032; Ind;1; HW
35; 18/3/2033; Ind;1; HW
35; 31/7/2033; DCC L;5; FH
35; 14/3/2035; Ind;1; HW
35; 5/11/2035; Ind;1; HW
35; 1/1/2037; Ind;1; HW
35; 12/7/2037; Ind;1; HW
35; 23/11/2037; Ind;1; HW
